"Joint
Number
",wheel,type,WT,"ID/
OD
",hours,minutes,degrees,DTDC,depth,length,width
321,13245.142,MLOS,0.25,E,6,5,182.5,-177.5,19,0.4,0.5
321,13245.308,MLOS,0.25,E,6,50,205,-155,27,2.3,1.27
321,13272.275,MLOS,0.25,E,6,30,195,-165,28,0.5,0.7
321,13275.892,MLOS,0.25,E,6,50,205,-155,24,1.7,1.77
321,13284.525,MLOS,0.25,E,8,0,240,-120,29,1.3,1.2
322,13322.458,MLOS,0.25,E,9,50,295,-65,20,1.3,1.16
323,13347.417,MLOS,0.25,E,5,40,170,170,26,0.7,1
325,13473.733,MLOS,0.25,E,12,20,10,10,28,0.3,0.7
331,13743.217,MLOS,0.25,E,8,50,265,-95,19,0.6,0.7
331,13744.333,MLOS,0.25,E,8,20,250,-110,20,1.9,1.92
393,16117.133,MLOS,0.25,E,6,10,185,-175,27,0.4,0.5
410,16450.558,MLOS,0.25,E,8,20,250,-110,22,0.4,0.6
418,16807.425,MLOS,0.25,E,1,55,57.5,57.5,32,0.5,0.7
445,17831.675,MLOS,0.25,E,4,55,147.5,147.5,19,0.9,0.76
445,17835.125,MLOS,0.25,E,4,55,147.5,147.5,23,2,3.8
445,17836.558,MLOS,0.25,E,6,20,190,-170,19,2.1,4.81
445,17837.267,MLOS,0.25,E,5,30,165,165,21,1.8,1.6
446,17878.792,MLOS,0.25,E,6,0,180,180,21,0.8,1.5
446,17879.142,MLOS,0.25,E,6,20,190,-170,20,1.6,1.37
446,17882.767,MLOS,0.25,E,6,30,195,-165,18,2.3,2.53
446,17909.308,MLOS,0.25,E,7,5,212.5,-147.5,18,0.3,0.6
446,17909.442,MLOS,0.25,E,7,5,212.5,-147.5,20,0.3,0.5
446,17909.917,MLOS,0.25,E,7,0,210,-150,19,2,1.11
448,17966.425,MLOS,0.25,E,6,50,205,-155,19,3.2,1.62
448,17988.142,MLOS,0.25,E,6,35,197.5,-162.5,19,1.3,1.52
451,18138.05,MLOS,0.25,E,6,5,182.5,-177.5,18,0.5,0.8
451,18138.283,MLOS,0.25,E,5,50,175,175,18,0.6,0.7
451,18144.817,MLOS,0.25,E,6,20,190,-170,18,1.8,2.94
451,18145,MLOS,0.25,E,6,0,180,180,18,2.2,2.99
452,18180.033,MLOS,0.25,E,1,35,47.5,47.5,22,0.7,1.1
454,18267.242,MLOS,0.25,E,5,45,172.5,172.5,20,0.7,1.1
534,21116.433,MLOS,0.25,U,12,10,5,5,25,0.4,1.2
534,21162.1,MLOS,0.25,I,4,10,125,125,18,0.9,1
536,21221.167,MLOS,0.25,E,1,30,45,45,19,0.6,0.8
537,21318.075,MLOS,0.25,U,5,40,170,170,42,0.5,1.2
538,21325.958,MLOS,0.25,E,6,30,195,-165,27,0.5,0.5
538,21335.808,MLOS,0.25,E,11,50,355,-5,21,0.5,0.7
538,21350.3,MLOS,0.25,E,6,5,182.5,-177.5,23,0.6,0.6
538,21358.908,MLOS,0.25,I,6,15,187.5,-172.5,24,5.3,2.38
538,21366.85,MLOS,0.25,E,5,50,175,175,22,0.8,1.1
542,21419.592,MLOS,0.25,U,6,30,195,-165,24,0.3,0.5
607,23319.525,MLOS,0.25,E,9,35,287.5,-72.5,20,0.9,1.3
607,23325.158,MLOS,0.25,E,1,45,52.5,52.5,19,0.7,1.3
609,23431.442,MLOS,0.25,E,6,25,192.5,-167.5,24,0.5,0.6
628,24185.517,MLOS,0.25,E,5,45,172.5,172.5,23,1.6,1.01
628,24186.95,MLOS,0.25,E,6,25,192.5,-167.5,22,2.6,3.44
628,24187.742,MLOS,0.25,E,5,40,170,170,20,1.5,2.68
629,24239.6,MLOS,0.25,E,6,50,205,-155,30,3.9,1.01
629,24240.333,MLOS,0.25,E,6,45,202.5,-157.5,30,2.8,4.2
629,24240.75,MLOS,0.25,E,6,45,202.5,-157.5,21,0.9,1.1
629,24241.15,MLOS,0.25,E,6,40,200,-160,22,3.7,1.11
629,24242.492,MLOS,0.25,E,6,45,202.5,-157.5,37,2.2,0.76
629,24243.1,MLOS,0.25,E,6,45,202.5,-157.5,35,1,0.6
629,24244.367,MLOS,0.25,I,6,45,202.5,-157.5,19,0.6,0.7
629,24262.55,MLOS,0.25,E,6,40,200,-160,24,2.4,1.72
630,24282.167,MLOS,0.25,E,6,10,185,-175,19,0.8,1.6
638,24707.875,MLOS,0.25,E,11,10,335,-25,22,1,1.3
644,24959.867,MLOS,0.25,E,6,10,185,-175,19,0.9,1.2
655,25412.317,MLOS,0.25,E,2,45,82.5,82.5,24,1.5,1.1
658,25582.917,MLOS,0.25,E,2,40,80,80,26,0.8,1.1
670,26196.833,MLOS,0.25,E,6,35,197.5,-162.5,19,0.7,0.7
674,26358.492,MLOS,0.25,E,3,25,102.5,102.5,24,1.4,1.2
781,29689.05,MLOS,0.25,U,5,35,167.5,167.5,27,0.8,1
782,29770.45,MLOS,0.25,E,6,0,180,180,20,2.3,1.62
789,29985.117,MLOS,0.25,E,9,15,277.5,-82.5,25,0.7,0.7
812,30730.717,MLOS,0.25,E,5,20,160,160,35,1.1,1
812,30732.283,MLOS,0.25,E,7,40,230,-130,21,1,1
812,30735.85,MLOS,0.25,E,7,20,220,-140,20,0.8,0.7
812,30737.117,MLOS,0.25,E,5,30,165,165,18,2,3.65
812,30737.617,MLOS,0.25,E,6,0,180,180,20,1,1.2
812,30737.917,MLOS,0.25,E,7,0,210,-150,23,0.8,1.2
812,30738.65,MLOS,0.25,E,7,15,217.5,-142.5,37,0.8,1
812,30739.883,MLOS,0.25,E,7,5,212.5,-147.5,26,1.1,1
812,30739.95,MLOS,0.25,E,5,25,162.5,162.5,33,1.3,1.2
812,30740.758,MLOS,0.25,E,6,50,205,-155,18,2.9,2.03
812,30741.183,MLOS,0.25,E,6,35,197.5,-162.5,20,1.3,4.2
812,30741.55,MLOS,0.25,E,6,55,207.5,-152.5,19,2.3,2.48
812,30741.717,MLOS,0.25,E,7,5,212.5,-147.5,18,0.6,0.7
812,30742.817,MLOS,0.25,E,6,55,207.5,-152.5,46,5,7.34
812,30746.55,MLOS,0.25,E,6,25,192.5,-167.5,21,1.9,5.37
812,30747.017,MLOS,0.25,E,4,35,137.5,137.5,19,4.5,4.81
813,30793.883,MLOS,0.25,E,7,30,225,-135,20,3.3,3.44
813,30794.05,MLOS,0.25,E,7,10,215,-145,19,0.3,0.7
813,30794.317,MLOS,0.25,E,7,40,230,-130,26,2.6,2.53
813,30794.75,MLOS,0.25,E,7,40,230,-130,21,2.6,1.3
813,30795.383,MLOS,0.25,E,8,10,245,-115,22,1.5,1.3
813,30796.817,MLOS,0.25,E,8,50,265,-95,19,1.2,1
851,31793.658,MLOS,0.25,E,6,0,180,180,19,0.8,0.8
856,31942.458,MLOS,0.25,E,5,35,167.5,167.5,20,0.6,0.8
858,32018.425,MLOS,0.25,U,5,50,175,175,25,0.5,0.7
867,32516.425,MLOS,0.25,I,9,0,270,-90,19,0.7,1
867,32518.108,MLOS,0.25,E,5,10,155,155,22,0.6,0.7
869,32615.042,MLOS,0.25,I,11,0,330,-30,22,1.1,1
870,32647.258,MLOS,0.25,E,6,10,185,-175,19,0.7,0.7
875,32882.475,MLOS,0.25,E,5,35,167.5,167.5,23,1.9,2.03
875,32924.383,MLOS,0.25,E,11,15,337.5,-22.5,18,3.1,2.03
882,33258.975,MLOS,0.25,E,5,15,157.5,157.5,20,2.1,1.87
882,33260.533,MLOS,0.25,E,5,25,162.5,162.5,23,2,1.67
883,33310.142,MLOS,0.25,E,7,55,237.5,-122.5,18,1.5,0.86
883,33315.8,MLOS,0.25,E,5,50,175,175,19,0.3,0.7
883,33316.033,MLOS,0.25,E,6,40,200,-160,22,0.8,1.2
883,33318.625,MLOS,0.25,E,6,0,180,180,18,0.6,0.8
883,33320.4,MLOS,0.25,E,7,20,220,-140,42,0.7,0.8
883,33320.567,MLOS,0.25,E,6,30,195,-165,26,0.4,0.6
883,33324.392,MLOS,0.25,E,4,55,147.5,147.5,28,0.5,0.6
884,33353.075,MLOS,0.25,E,3,20,100,100,18,0.6,0.7
884,33356.867,MLOS,0.25,E,3,5,92.5,92.5,24,5,3.95
884,33359.392,MLOS,0.25,E,3,20,100,100,23,2.6,1.82
884,33361.633,MLOS,0.25,E,3,5,92.5,92.5,19,1.2,1.2
884,33380.1,MLOS,0.25,E,8,35,257.5,-102.5,27,0.6,0.7
