Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
1130,27019.16,32.89,93,Ext,20,0.587,1.752,22
1132,27027.91,1.87,83,Ext,13,0.353,0.672,22
1134,27076.5,10.68,85.75,Ext,5,1.879,2.424,22
1135,27077.22,11.4,82.75,Ext,10,0.705,3.144,22
1136,27082.32,16.5,157,Int,32,1.761,3.816,22
1137,27082.72,16.9,156.5,Int,20,2.113,2.448,22
1138,27086.05,20.23,89,Ext,15,0.587,2.424,22
1144,27259.19,20.54,90.75,Ext,3,1.879,2.424,22
1145,27262.3,23.65,87,Ext,12,2.583,5.088,22
1146,27263,24.35,91.5,Ext,13,1.526,2.4,22
1147,27263.41,24.76,94.5,Ext,5,0.705,0.984,22
1150,27322.84,19.55,84.75,Ext,4,1.174,4.152,22
1153,27358.46,15.42,96.5,Ext,5,0.685,3.144,22
1154,27367.12,24.07,80.75,Ext,9,2.055,9.888,22
1155,27374.08,31.04,97,Ext,4,0.294,0.96,22
1156,27381.55,38.51,82,Ext,13,1.761,1.944,22
1158,27383.82,1.09,94.5,Ext,10,4.813,4.104,22
1161,27466.4,4.17,99.5,Ext,5,0.294,0.864,22
1162,27466.69,4.47,96.5,Ext,7,2.446,2.16,22
1163,27489.68,27.46,89.5,Ext,10,1.174,3.192,22
1164,27500.93,38.71,92,Ext,12,2.446,4.344,22
1168,27542.73,1.09,85.5,Ext,6,2.935,5.304,22
1169,27557.95,16.3,88.5,Ext,6,7.141,6.048,22
1170,27565.16,23.51,85.5,Ext,6,5.087,3.408,22
1171,27568.21,26.56,174.25,Ext,5,0.392,1.2,22
1172,27569.59,27.95,176.75,Ext,7,0.49,1.488,22
1173,27570.31,28.66,44.75,Ext,9,0.196,0.96,22
1189,27913.73,0.91,148.75,Ext,15,1.057,3.43,24
1215,28399.1,6.44,71.5,Ext,10,5.165,13.378,24
1216,28399.38,6.72,115.25,Ext,10,4.657,15.08,24
1248,28995.14,9.5,127.75,Ext,12,6.691,13.195,24
1249,28995.21,9.57,46.5,Ext,10,8.57,15.708,24
1295,29815.19,0.42,56.25,Ext,35,0.47,1.152,24
1296,29815.68,0.91,55.75,Ext,28,0.353,1.231,24
1311,30056.11,0.4,66.75,Ext,18,0.587,2.043,24
1312,30056.61,0.9,68.5,Ext,28,0.587,2.304,24
1337,30523.01,4.75,88.25,Ext,13,5.772,34.637,24
1372,31187.89,7.11,77.5,Ext,20,7.63,13.693,24
1466,33031.39,18.97,96,Ext,18,2.7,6.362,24
1631,36075.73,10.49,75.75,Ext,15,4.109,10.76,24
1677,36895.88,8.99,84.5,Ext,20,3.522,4.242,24
1707,37446.77,13.15,72.25,Ext,10,1.566,11.52,24
1723,37723.3,9,102.75,Ext,18,2.642,6.86,24
1743,38081.37,9.07,70.75,Ext,15,5.283,12.933,24
1890,40960.14,17.04,104,Ext,20,4.696,5.786,24
1893,40991.45,8.13,69.25,Ext,9,1.272,5.236,24
1894,40991.49,8.17,105.5,Ext,13,1.37,12.881,24
1915,41373.17,17.48,87,Ext,14,2.348,3.456,24
1916,41373.38,17.69,87,Ext,15,0.392,3.43,24
1929,41589.54,4.42,39.75,Int,18,0.881,4.739,24
1930,41602.21,17.1,84.5,Ext,19,1.174,5.446,24
2025,43382.24,14.79,103.5,Ext,5,0.979,9.111,24
