wheel,station,Tool Speed (ft/sec),depth,WT,SMYS,length,width,clock,degrees,DTDC,Int/Ext
30657.95,30538.39,16.89,21,0.25,35000,0.656,0.837,5:00,153,153,External
30658,30538.44,16.89,36,0.25,35000,0.535,0.963,6:00,181,-179,External
30658.09,30538.51,16.89,21,0.25,35000,1.283,1.651,5:15,161,161,External
30660.56,30541.01,16.89,19,0.25,35000,0.464,0.383,5:00,148,148,External
30727.1,30607.58,16.41,22,0.25,35000,0.619,0.593,6:00,180,180,External
30728.21,30608.63,16.14,25,0.25,35000,2.167,1.664,5:30,167,167,External
30733.75,30614.23,16.14,22,0.25,35000,0.764,0.681,9:30,284,-76,External
30735.02,30615.52,16.14,25,0.25,35000,0.484,0.417,5:15,157,157,External
30744.15,30624.65,15.79,21,0.25,35000,0.494,0.608,5:15,159,159,External
30744.28,30624.79,15.79,20,0.25,35000,0.407,0.333,6:00,182,-178,External
30755.14,30635.65,15.79,24,0.25,35000,0.589,0.503,6:00,181,-179,External
30757.06,30637.56,15.79,41,0.25,35000,0.493,0.641,6:15,185,-175,External
30757.37,30637.86,15.79,26,0.25,35000,0.881,0.743,6:30,196,-164,External
30759.14,30639.64,16.21,24,0.25,35000,0.803,0.721,7:45,233,-127,External
30761.67,30642.17,16.21,25,0.25,35000,0.738,0.482,6:15,189,-171,External
30766.85,30647.34,16.21,32,0.25,35000,1.008,1.044,4:30,138,138,External
30767.2,30647.7,16.21,34,0.25,35000,0.766,0.545,6:15,188,-172,External
30768.43,30648.92,16.21,40,0.25,35000,1,0.876,6:45,205,-155,External
30771.05,30651.57,16.21,34,0.25,35000,0.567,0.5,7:45,229,-131,External
30772.02,30652.52,16.21,27,0.25,35000,0.831,0.707,6:45,202,-158,External
30773.28,30653.8,16.21,42,0.25,35000,0.573,0.563,5:00,148,148,External
30773.37,30653.83,16.21,22,0.25,35000,1.967,0.581,5:45,170,170,External
30773.77,30654.27,16.21,25,0.25,35000,0.937,1.121,5:15,159,159,External
30773.96,30654.46,16.02,19,0.25,35000,0.854,0.761,5:30,162,162,External
30774.08,30654.59,16.02,60,0.25,35000,0.573,0.621,6:30,192,-168,External
30774.39,30654.81,16.02,21,0.25,35000,2.769,2.537,4:45,140,140,External
30774.8,30655.31,16.02,54,0.25,35000,0.701,0.878,6:45,199,-161,External
30774.88,30655.39,16.02,24,0.25,35000,0.621,0.442,4:45,144,144,External
30775.14,30655.65,16.02,30,0.25,35000,0.588,0.612,4:15,130,130,External
30775.31,30655.67,16.02,21,0.25,35000,4.204,4.191,6:00,180,180,External
30775.77,30656.2,16.02,22,0.25,35000,2.483,1.663,5:45,169,169,External
30775.78,30656.28,16.02,27,0.25,35000,1.016,0.86,4:45,147,147,External
30776.05,30656.56,16.02,24,0.25,35000,0.835,0.946,6:30,195,-165,External
30776.1,30656.59,16.02,32,0.25,35000,1.231,1.147,5:00,148,148,External
30776.37,30656.87,16.02,34,0.25,35000,0.937,0.712,7:00,211,-149,External
30776.73,30657.25,16.02,28,0.25,35000,0.575,0.437,4:45,147,147,External
30776.98,30657.4,16.02,22,0.25,35000,2.92,2.68,6:00,182,-178,External
30777.23,30657.67,16.02,30,0.25,35000,2.369,0.772,7:00,210,-150,External
30777.35,30657.85,16.02,37,0.25,35000,0.973,0.763,6:00,183,-177,External
30777.64,30658.1,16.02,23,0.25,35000,1.922,1.562,6:15,186,-174,External
