joint_no,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
7010,26117.05,34.11,105.0336,Ext,14,0.782,1.104,22
7040,26205.95,3.69,90.0288,Ext,12,1.076,0.6,22
7040,26210.26,7.98,101.2824,Ext,34,0.782,0.672,22
7040,26215.45,13.19,105.0336,Ext,28,0.782,0.552,22
7040,26215.9,13.61,105.0336,Ext,10,1.564,2.184,22
7040,26216.77,14.49,101.2824,Ext,11,1.662,3.144,22
7040,26220.24,17.97,90.0288,Ext,20,0.782,0.504,22
7040,26236.86,34.61,93.78,Ext,10,1.467,1.944,22
7040,26241.21,38.81,93.78,Ext,23,4.106,3.36,22
7040,26241.49,39.22,101.2824,Ext,10,0.685,0.912,22
7040,26241.63,39.34,93.78,Ext,22,1.173,0.72,22
7050,26245.38,3.23,93.78,Ext,11,1.056,2.424,22
7050,26245.78,3.66,101.2824,Ext,10,2.581,2.904,22
7050,26248.45,6.31,93.78,Ext,10,0.822,1.08,22
7050,26262.51,20.37,142.5456,Ext,10,0.587,1.152,22
7060,26319.69,38.24,93.78,Ext,12,0.782,0.528,22
7070,26358.37,37.16,86.2776,Ext,12,0.822,1.032,22
7080,26366.1,5.17,90.0288,Ext,10,0.782,0.648,22
7090,26405.01,4.24,101.2824,Ext,10,0.782,0.984,22
7100,26460.44,19.82,86.2776,Ext,10,0.939,3.384,22
7100,26475.51,34.9,86.2776,Ext,10,0.88,0.648,22
7100,26475.67,35.06,90.0288,Ext,10,0.978,1.392,22
7100,26476.05,35.43,86.2776,Ext,11,1.369,1.8,22
7110,26491.92,11.51,93.78,Ext,10,0.88,0.624,22
7110,26497.54,17.13,97.5312,Ext,10,0.88,0.576,22
7110,26501.61,21.2,86.2776,Ext,14,0.88,1.344,22
7120,26530.26,9.91,101.2824,Ext,10,0.782,0.984,22
7120,26533.94,13.59,90.0288,Ext,10,0.978,0.696,22
7120,26534.08,13.73,86.2776,Ext,10,0.88,1.2,22
7120,26534.36,14,108.7848,Ext,10,0.88,1.368,22
7120,26534.75,14.42,78.7752,Ext,15,0.782,1.008,22
7120,26536.48,16.12,82.5264,Ext,10,0.88,1.512,22
7120,26537.22,16.89,90.0288,Ext,12,0.978,0.888,22
7120,26543.98,23.63,93.78,Ext,13,0.685,0.36,22
7120,26544.17,23.79,90.0288,Ext,19,1.271,1.728,22
7120,26553.35,33,93.78,Ext,11,0.685,0.552,22
7120,26555.41,35.06,101.2824,Ext,22,0.587,0.984,22
7130,26597.87,37.7,93.78,Ext,12,1.369,2.184,22
7130,26598.24,38.08,90.0288,Ext,10,0.88,0.864,22
7130,26598.29,38.14,78.7752,Ext,10,0.978,0.984,22
7130,26599.48,39.33,93.78,Ext,13,1.173,0.696,22
7140,26608.87,8.91,135.0432,Ext,16,0.587,0.6,22
7160,26680.38,0.86,105.0336,Ext,13,0.939,0.624,22
7160,26680.65,1.12,90.0288,Ext,30,0.822,0.528,22
7160,26681.84,2.32,93.78,Ext,19,0.704,0.456,22
7160,26691.71,12.2,93.78,Ext,10,1.877,2.184,22
7160,26707.52,27.98,93.78,Ext,21,1.76,4.584,22
7160,26708.8,29.26,93.78,Ext,14,0.88,2.184,22
7160,26712.42,32.95,101.2824,Ext,12,2.346,3.624,22
7170,26733.81,14.41,93.78,Ext,10,0.489,0.816,22
7170,26746.55,27.15,86.2776,Ext,10,0.782,0.984,22
7170,26746.63,27.23,101.2824,Ext,14,0.782,0.48,22
7170,26748,28.58,86.2776,Ext,10,0.489,0.696,22
7180,26766.51,7.27,90.0288,Ext,10,0.782,0.552,22
7180,26782.15,22.94,90.0288,Ext,10,1.858,2.424,22
7180,26783.2,23.93,86.2776,Ext,17,0.88,0.48,22
7180,26794.3,35.06,97.5312,Ext,20,0.978,0.744,22
7180,26794.51,35.27,90.0288,Ext,10,0.88,0.792,22
7190,26800.32,1.34,112.536,Ext,13,1.662,2.184,22
7190,26800.68,1.71,105.0336,Ext,13,0.782,1.392,22
7190,26801.26,2.29,101.2824,Ext,26,0.685,0.624,22
7190,26803.29,4.31,93.78,Ext,18,1.076,1.416,22
7190,26803.61,4.65,101.2824,Ext,10,0.685,0.36,22
7190,26803.81,4.85,97.5312,Ext,11,0.685,0.84,22
7190,26803.92,4.94,101.2824,Ext,10,0.685,0.48,22
7190,26805.33,6.35,97.5312,Ext,16,0.587,0.504,22
7190,26807.35,8.38,93.78,Ext,10,0.782,0.552,22
7190,26831.23,32.28,90.0288,Ext,12,1.271,1.152,22
7200,26856.57,17.8,97.5312,Ext,34,0.587,0.696,22
7200,26859.93,21.15,93.78,Ext,15,0.685,0.84,22
7200,26868.02,29.27,101.2824,Ext,19,1.076,1.248,22
7210,26884.45,5.93,101.2824,Ext,19,0.685,0.504,22
7210,26886.02,7.49,101.2824,Ext,17,0.685,0.6,22
7210,26894.69,16.15,93.78,Ext,20,0.782,3.144,22
7210,26897.22,18.71,105.0336,Ext,13,1.369,3.144,22
7210,26906.4,27.86,97.5312,Ext,14,1.076,2.832,22
7210,26906.55,28.02,101.2824,Ext,10,0.782,0.48,22
7220,26941.63,23.26,86.2776,Ext,40,0.685,0.336,22
7220,26942.27,23.89,86.2776,Ext,26,0.685,0.504,22
7220,26947.36,28.97,90.0288,Ext,10,0.391,0.456,22
7220,26947.53,29.12,86.2776,Ext,16,1.564,2.664,22
7220,26949.37,30.97,86.2776,Ext,24,2.737,3.384,22
7220,26949.69,31.3,90.0288,Ext,10,0.88,0.792,22
7240,27001.25,3.27,78.7752,Ext,24,1.525,1.944,22
7240,27002.87,4.93,97.5312,Ext,14,1.408,0.576,22
7240,27005.11,7.17,82.5264,Ext,21,0.939,0.504,22
7240,27014.52,16.58,90.0288,Ext,14,1.271,0.912,22
7240,27017.45,19.49,108.7848,Ext,12,0.978,1.2,22
7240,27027.1,29.15,97.5312,Ext,10,0.685,0.816,22
7240,27027.33,29.38,97.5312,Ext,10,0.782,0.648,22
7240,27028.11,30.18,97.5312,Ext,12,1.76,2.184,22
7240,27028.26,30.31,90.0288,Ext,10,0.782,0.576,22
7240,27029.43,31.48,97.5312,Ext,20,0.782,0.528,22
7240,27029.89,31.92,108.7848,Ext,10,0.978,1.2,22
7240,27030.26,32.34,97.5312,Ext,20,1.76,3.144,22
7240,27030.87,32.92,97.5312,Ext,20,0.88,0.504,22
7250,27039.63,1.86,82.5264,Ext,12,1.076,1.944,22
7260,27089.08,11.41,86.2776,Ext,10,0.782,3.864,22
7260,27094.18,16.5,161.3016,Int,33,2.151,3.672,22
7260,27094.59,16.88,161.3016,Int,30,2.249,2.664,22
7260,27097.96,20.28,90.0288,Ext,15,1.173,2.904,22
7290,27214.58,17.17,112.536,Ext,12,1.076,0.624,22
7310,27274.56,23.66,90.0288,Ext,12,0.822,0.528,22
7310,27275.27,24.39,97.5312,Ext,13,1.76,0.984,22
7340,27379.73,24.1,86.2776,Ext,10,1.369,3.624,22
7340,27394.17,38.56,86.2776,Ext,10,0.939,1.32,22
7350,27396.04,0.68,101.2824,Ext,10,2.346,1.968,22
7350,27396.31,1.01,97.5312,Ext,12,2.268,1.8,22
7370,27502.48,27.44,97.5312,Ext,10,1.173,0.888,22
7370,27513.77,38.81,93.78,Ext,13,2.581,5.04,22
7390,27583.17,28.66,52.5168,Ext,10,1.173,1.176,22
7540,27927.53,0.96,153.7992,Ext,25,1.643,0.812,24
7540,27929.85,3.28,153.7992,Ext,14,1.643,1.152,24
7580,28016.97,11.66,37.512,Ext,10,1.78,1.781,24
7580,28024.72,19.39,48.7656,Ext,11,2.053,1.074,24
7590,28040.22,14.73,63.7704,Ext,11,1.78,3.954,24
7790,28415.05,6.65,75.024,Ext,10,5.748,14.949,24
7790,28415.15,6.65,116.2872,Ext,10,5.044,15.002,24
8090,29014.74,9.31,135.0432,Ext,16,2.346,6.388,24
8090,29014.81,9.44,67.5216,Ext,13,1.056,1.074,24
8090,29014.9,9.54,131.292,Ext,10,0.587,2.592,24
8090,29014.96,9.6,48.7656,Ext,13,1.995,5.524,24
8100,29033.51,7.99,86.2776,Ext,11,1.877,3.43,24
